metric,metric_family,node_metric,outcome,kind,min,min_sig,average,average_sig,sum,sum_sig,product,product_sig,r_range_trio,r_range_all,sig_flip_trio,sign_flip_trio
valued_involvement,Total Strength,valued_involvement,goals_against,raw,0.15632323618472177,,0.16147579506296322,,0.16147579525089206,,0.04256455052712334,,0.0051525590661702925,0.11891124472376872,False,False
valued_involvement,Total Strength,valued_involvement,goals_against,partial,0.06698729396268265,,0.07027490465456324,,0.0702749048562907,,0.017710417852689227,,0.003287610893608059,0.05256448700360147,False,False
valued_involvement,Total Strength,valued_involvement,shots_against,raw,0.5510496055289044,***,0.5608196384024716,***,0.5608196382179308,***,0.3001929517888832,***,0.009770032873567258,0.2606266866135884,False,False
valued_involvement,Total Strength,valued_involvement,shots_against,partial,0.4051320624441978,***,0.41383034320443934,***,0.4138303428972766,***,0.2673312267358012,**,0.008698280760241539,0.14649911646863817,False,False
valued_involvement,Total Strength,valued_involvement,xg_against,raw,0.3764569696378275,***,0.39279262752304683,***,0.3927926273681587,***,0.16522121466370435,,0.016335657885219346,0.2275714128593425,False,False
valued_involvement,Total Strength,valued_involvement,xg_against,partial,0.27143534713526996,**,0.29017523757626495,***,0.29017523735252465,***,0.13149498337931365,,0.018739890440995,0.1586802541969513,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,goals_against,raw,0.07938827384636257,,0.07150406499399176,,0.07150406485476604,,0.11452981410346308,,0.00788420899159653,0.04302574924869704,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,goals_against,partial,0.0784892101530543,,0.0656503816910263,,0.06565038119651082,,0.12452927784698335,,0.01283882895654348,0.05887889665047254,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,shots_against,raw,0.059157799403770674,,0.046904778381742666,,0.04690477937872495,,0.08593873589630369,,0.012253021022028007,0.03903395751456102,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,shots_against,partial,0.0599583992615354,,0.033103281579587224,,0.03310328172182821,,0.11763091687414085,,0.026855117681948176,0.08452763529455362,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,xg_against,raw,0.030660304454900006,,0.027145194517735456,,0.027145194794567968,,0.0801759170925786,,0.0035151099371645497,0.05303072257484314,False,False
valued_involvement_gini,Gini (strength inequality),valued_involvement,xg_against,partial,0.02838602550477934,,0.016743743668702713,,0.016743743371996054,,0.0968705849769395,,0.011642282132783285,0.08012684160494345,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,goals_against,raw,-0.050606914698562454,,-0.056035497762313854,,-0.05603551067931251,,-0.13790711310599488,,0.005428595980750059,0.08730019840743242,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,goals_against,partial,-0.06252726819459635,,-0.05314740647737591,,-0.05314745041484024,,-0.1526802548741655,,0.009379861717220439,0.0995328483967896,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,shots_against,raw,0.05304242727758829,,0.039540021480298414,,0.03954011602925261,,-0.04373344278861342,,0.013502405797289875,0.09677587006620171,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,shots_against,partial,0.029331722344885094,,0.054408749676406014,,0.054408770681893204,,-0.08199929010230864,,0.02507704833700811,0.13640806078420184,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,xg_against,raw,-0.02439586820603986,,-0.03276932263635482,,-0.03276927002466708,,-0.06250448157382418,,0.00837345443031496,0.03810861336778432,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,xg_against,partial,-0.04353559833503055,,-0.027940625874319086,,-0.027940621710808022,,-0.08537330217317571,,0.015594976624222524,0.057432680462367686,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,goals_against,raw,0.13120666714646584,,0.1312153601998764,,0.1312153580739378,,0.09984548507717599,,8.693053410557816e-06,0.03136987512270041,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,goals_against,partial,0.13522631175876132,,0.126854906648881,,0.12685490324359433,,0.11175406906825931,,0.00837140851516699,0.023472242690502007,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,shots_against,raw,-0.013641209640377294,,-0.035105656381647365,,-0.035105656931555845,,0.013898968828637545,,0.02146444729117855,0.04900462576019339,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,shots_against,partial,-0.010089677024286432,,-0.05700095649669469,,-0.057000960588492695,,0.04300821528188987,,0.04691128356420626,0.10000917587038256,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,xg_against,raw,0.015960052721219954,,-0.000894449003650875,,-0.0008944500791033712,,0.06446289892435227,,0.016854502800323325,0.06535734900345563,False,True
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,xg_against,partial,0.019734187606513357,,-0.011721004671579799,,-0.011721007889147941,,0.08395206504471808,,0.031455195495661295,0.09567307293386602,False,True
valued_contribution,Total Strength,valued_contribution,goals_against,raw,0.12378417579278357,,0.1457905268268114,,0.1457905237616524,,-0.0044852519851149505,,0.02200635103402783,0.15027577881192636,False,False
valued_contribution,Total Strength,valued_contribution,goals_against,partial,0.04981518082975921,,0.06936795101914281,,0.06936794729888617,,-0.013067795746691214,,0.019552770189383596,0.08243574676583403,False,False
valued_contribution,Total Strength,valued_contribution,shots_against,raw,0.3910967992982208,***,0.4018169536975018,***,0.40181695411850893,***,0.11156972222096567,,0.010720154820288152,0.29024723189754326,False,False
valued_contribution,Total Strength,valued_contribution,shots_against,partial,0.24069970594695003,**,0.24023064678078435,**,0.24023064690803703,**,0.10135218435517741,,0.0004690591661656862,0.1393475215917726,False,False
valued_contribution,Total Strength,valued_contribution,xg_against,raw,0.3297011899355398,***,0.3445108802353296,***,0.3445108791786177,***,0.10740228358809623,,0.01480969029978979,0.23710859664723338,False,False
valued_contribution,Total Strength,valued_contribution,xg_against,partial,0.23575198747814033,**,0.24671918591071512,**,0.24671918446895963,**,0.0982082874069109,,0.010967198432574793,0.14851089850380422,False,False
valued_contribution_gini,Gini (strength inequality),valued_contribution,goals_against,raw,0.01183877204842227,,0.04233969384718714,,0.04233971336291871,,0.1131844348590952,,0.03050094131449644,0.10134566281067292,False,False
valued_contribution_gini,Gini (strength inequality),valued_contribution,goals_against,partial,0.033152892042555115,,0.06189278886840392,,0.06189282107991523,,0.1368700472826488,,0.028739929037360112,0.10371715524009367,False,False
valued_contribution_gini,Gini (strength inequality),valued_contribution,shots_against,raw,-0.10012854886490735,,-0.07344397272848642,,-0.07344400980309711,,-0.14111019915418954,,0.02668457613642093,0.06766622642570312,False,False
valued_contribution_gini,Gini (strength inequality),valued_contribution,shots_against,partial,-0.05518437872759056,,-0.03165884469368055,,-0.031658854243241004,,-0.10107396658116481,,0.023525534033910014,0.06941512188748426,False,False
valued_contribution_gini,Gini (strength inequality),valued_contribution,xg_against,raw,-0.06718188535009664,,-0.04268566973211362,,-0.04268568052149728,,-0.1002286026888519,,0.02449621561798302,0.057542932956738284,False,False
valued_contribution_gini,Gini (strength inequality),valued_contribution,xg_against,partial,-0.03604923012683682,,-0.01420093064139405,,-0.01420092261127584,,-0.07070516693206136,,0.02184830751556098,0.05650424432078552,False,False
valued_contribution_cc_weighted,Clustering (weighted),valued_contribution,goals_against,raw,-0.047588720039584975,,-0.08056083061524368,,-0.08056124238676583,,-0.12492622978828553,,0.03297252234718086,0.07733750974870056,False,False
valued_contribution_cc_weighted,Clustering (weighted),valued_contribution,goals_against,partial,-0.0631611224224903,,-0.08681501136486211,,-0.0868154611225113,,-0.141144437055864,,0.023654338700020996,0.07798331463337368,False,False
valued_contribution_cc_weighted,Clustering (weighted),valued_contribution,shots_against,raw,0.04678695562085507,,-0.03348316326569108,,-0.033483188854688074,,0.10491636574219233,,0.08027014447554315,0.13839955459688041,False,True
valued_contribution_cc_weighted,Clustering (weighted),valued_contribution,shots_against,partial,0.012546402915481779,,-0.05066526024997123,,-0.050665372475236364,,0.07971187797786292,,0.06321177539071815,0.13037725045309928,False,True
valued_contribution_cc_weighted,Clustering (weighted),valued_contribution,xg_against,raw,0.07742006498650827,,0.021758073449896248,,0.021758203418231988,,0.1356539567616658,,0.05566199153661203,0.11389588331176956,False,False
valued_contribution_cc_weighted,Clustering (weighted),valued_contribution,xg_against,partial,0.05701251450047603,,0.014643614219988943,,0.014643699495057505,,0.11925045757753161,,0.042368900280487086,0.10460684335754267,False,False
valued_contribution_centralization_weighted,Freeman Centralization (weighted),valued_contribution,goals_against,raw,-0.027583543629275103,,-0.0030178135468205344,,-0.0030177944764678416,,0.12176604927061453,,0.02456574915280726,0.14934959289988964,False,False
valued_contribution_centralization_weighted,Freeman Centralization (weighted),valued_contribution,goals_against,partial,-0.013289581005187682,,0.011650737739524287,,0.011650760130747187,,0.1291299043051206,,0.02494034113593487,0.1424194853103083,False,True
valued_contribution_centralization_weighted,Freeman Centralization (weighted),valued_contribution,shots_against,raw,-0.17562363537215026,*,-0.17688486510390758,*,-0.17688486258361302,*,-0.10350613373241542,,0.001261229731757324,0.07337873137149216,False,False
valued_contribution_centralization_weighted,Freeman Centralization (weighted),valued_contribution,shots_against,partial,-0.15604784637187064,,-0.15774199162933536,,-0.15774198106049808,,-0.10089221707754213,,0.0016941452574647242,0.05684977455179323,False,False
valued_contribution_centralization_weighted,Freeman Centralization (weighted),valued_contribution,xg_against,raw,-0.14477733909199383,,-0.15717359469643324,,-0.15717359180044807,,-0.099283061023277,,0.01239625560443941,0.05789053367315625,False,False
valued_contribution_centralization_weighted,Freeman Centralization (weighted),valued_contribution,xg_against,partial,-0.12719567867557957,,-0.14033881423975142,,-0.14033880658713474,,-0.09486106033778616,,0.013143135564171848,0.04547775390196526,False,False
valued_fault,Total Strength,valued_fault,goals_against,raw,0.14443403283156409,,0.1426909703897221,,0.14269097054472463,,0.04934496354722903,,0.001743062441841997,0.09508906928433505,False,False
valued_fault,Total Strength,valued_fault,goals_against,partial,0.059401416422945386,,0.05518550925214664,,0.05518550938146233,,0.025275900728292423,,0.004215907170798748,0.03412551569465296,False,False
valued_fault,Total Strength,valued_fault,shots_against,raw,0.5251204228189541,***,0.5352287859096962,***,0.5352287858705356,***,0.28784737030711843,***,0.010108363090742145,0.24738141560257781,False,False
valued_fault,Total Strength,valued_fault,shots_against,partial,0.38185219853898517,***,0.3916680857055024,***,0.39166808555787624,***,0.25498572773469064,**,0.009815887166517212,0.13668235797081174,False,False
valued_fault,Total Strength,valued_fault,xg_against,raw,0.3366636742355582,***,0.3509397674799779,***,0.35093976752788103,***,0.13910103469366009,,0.014276093292322822,0.21183873283422094,False,False
valued_fault,Total Strength,valued_fault,xg_against,partial,0.2280508860259312,**,0.24360980557729617,**,0.24360980558109108,**,0.10493001150705093,,0.015558919555159867,0.13867979407404013,False,False
valued_fault_gini,Gini (strength inequality),valued_fault,goals_against,raw,0.1300305436607713,,0.11412792211827137,,0.11412792137325634,,0.11360648329771188,,0.01590262228751496,0.01642406036305942,False,False
valued_fault_gini,Gini (strength inequality),valued_fault,goals_against,partial,0.12382580951633616,,0.10316656486212866,,0.10316656439151675,,0.11341613405198644,,0.02065924512481941,0.02065924512481941,False,False
valued_fault_gini,Gini (strength inequality),valued_fault,shots_against,raw,0.08760582548538,,0.07895412150418293,,0.07895412343933632,,0.1406049672015564,,0.008651703981197065,0.061650845697373474,False,False
valued_fault_gini,Gini (strength inequality),valued_fault,shots_against,partial,0.0747422906519915,,0.05257968881873952,,0.05257969179111095,,0.1511192853701875,,0.022162601833251985,0.09853959655144799,False,False
valued_fault_gini,Gini (strength inequality),valued_fault,xg_against,raw,0.07515793741489163,,0.08107350099599894,,0.0810735017298132,,0.13189809024340174,,0.005915564314921573,0.05674015282851011,False,False
valued_fault_gini,Gini (strength inequality),valued_fault,xg_against,partial,0.06460930227660654,,0.06327788629211496,,0.06327788754532895,,0.1342401361760654,,0.001331415984491574,0.07096224988395043,False,False
valued_fault_cc_weighted,Clustering (weighted),valued_fault,goals_against,raw,-0.10670716815180828,,-0.11230218959439298,,-0.11230218938773995,,-0.09118013839273517,,0.005595021442584697,0.021122051201657804,False,False
valued_fault_cc_weighted,Clustering (weighted),valued_fault,goals_against,partial,-0.11005562099953006,,-0.10019541113717154,,-0.10019543640475007,,-0.09698282527418374,,0.009860209862358527,0.013072795725346323,False,False
valued_fault_cc_weighted,Clustering (weighted),valued_fault,shots_against,raw,0.047330466923476824,,0.018320217851736202,,0.018320284144604508,,-0.06895378836969916,,0.029010249071740622,0.11628425529317599,False,False
valued_fault_cc_weighted,Clustering (weighted),valued_fault,shots_against,partial,0.048359981929100265,,0.05925939294593543,,0.059259394011689656,,-0.08850975504368475,,0.010899412082589391,0.14776914905537442,False,False
valued_fault_cc_weighted,Clustering (weighted),valued_fault,xg_against,raw,-0.032588778476861896,,-0.059614716209696404,,-0.05961465590384106,,-0.09048015959749732,,0.027025937732834508,0.057891381120635424,False,False
valued_fault_cc_weighted,Clustering (weighted),valued_fault,xg_against,partial,-0.03663624705657851,,-0.03895363255244996,,-0.03895361268465887,,-0.10144842351862465,,0.002317385495871453,0.06481217646204615,False,False
valued_fault_centralization_weighted,Freeman Centralization (weighted),valued_fault,goals_against,raw,0.16250675789632624,,0.12964170410140252,,0.1296417038467913,,0.12703737353227385,,0.032865054049534936,0.03546938436405239,False,False
valued_fault_centralization_weighted,Freeman Centralization (weighted),valued_fault,goals_against,partial,0.16216274782939435,,0.11870699761231679,,0.11870699771865507,,0.13484883231335093,,0.043455750217077566,0.043455750217077566,False,False
valued_fault_centralization_weighted,Freeman Centralization (weighted),valued_fault,shots_against,raw,0.03173413966991409,,-0.0005030150839279851,,-0.0005030143221421077,,0.08967478139379266,,0.032237154753842076,0.09017779647772065,False,True
valued_fault_centralization_weighted,Freeman Centralization (weighted),valued_fault,shots_against,partial,0.027201454095713742,,-0.03694416636867606,,-0.03694416446796406,,0.11539453962755422,,0.0641456204643898,0.15233870599623028,False,True
valued_fault_centralization_weighted,Freeman Centralization (weighted),valued_fault,xg_against,raw,0.07728508388722988,,0.05200494958861632,,0.05200495022449026,,0.16303868400594157,,0.02528013429861356,0.11103373441732525,False,False
valued_fault_centralization_weighted,Freeman Centralization (weighted),valued_fault,xg_against,partial,0.0756976690712577,,0.032421900450218255,,0.032421901740591404,,0.1794673692751853,*,0.04327576862103945,0.14704546882496705,False,False
