player,xt_sum,most_common_position,overall_position,xt_pass
Sergio Rochet Álvarez,0.244825711,Goalkeeper,Goalkeeper,0.246692913
Hernán Ismael Galíndez,0.214633288,Goalkeeper,Goalkeeper,0.220701818
Aymen Dahmen,0.21396561,Goalkeeper,Goalkeeper,0.216629111
Wayne Hennessey,0.196162161,Goalkeeper,Goalkeeper,0.198811228
Lawrence Ati-Zigi,0.177614379,Goalkeeper,Goalkeeper,0.180969373
Milan Borjan,0.176331029,Goalkeeper,Goalkeeper,0.178925685
Alireza Safar Beiranvand,0.172688495,Goalkeeper,Goalkeeper,0.170027542
Manuel Neuer,0.136771207,Goalkeeper,Goalkeeper,0.1372904
André Onana,0.123955672,Goalkeeper,Goalkeeper,0.093862599
Thibaut Courtois,0.117168045,Goalkeeper,Goalkeeper,0.124206914
Francisco Guillermo Ochoa Magaña,0.110697546,Goalkeeper,Goalkeeper,0.11219201
Ederson Santana de Moraes,0.09248758,Goalkeeper,Goalkeeper,0.098034735
Seyed Hossein Hosseini,0.068715341,Goalkeeper,Goalkeeper,0.073297135
Unai Simón Mendibil,0.056066657,Goalkeeper,Goalkeeper,0.058716653
Weverton Pereira da Silva,0.052611469,Goalkeeper,Goalkeeper,0.052611469
Meshaal Aissa Barsham,0.050079962,Goalkeeper,Goalkeeper,0.048560499
Alisson Ramsés Becker,0.049130533,Goalkeeper,Goalkeeper,0.046664032
Munir Mohand Mohamedi,0.046579254,Goalkeeper,Goalkeeper,0.047224913
Yann Sommer,0.044345786,Goalkeeper,Goalkeeper,0.049117945
Saad Abdullah Al Sheeb,0.015055419,Goalkeeper,Goalkeeper,0.015197113
Steve Mandanda,0.006080908,Goalkeeper,Goalkeeper,0.007815178
Gregor Kobel,-0.002519945,Goalkeeper,Goalkeeper,-0.003846465
Luka Modrić,3.440585089,Right Center Midfield,Midfield,2.462110081
Antoine Griezmann,2.950074669,Center Attacking Midfield,Midfield,2.397431257
Mateo Kovačić,2.170390075,Left Center Midfield,Midfield,0.897114716
Joshua Kimmich,2.030442816,Right Defensive Midfield,Midfield,1.8084711
Aurélien Djani Tchouaméni,1.916213198,Right Defensive Midfield,Midfield,1.495792129
Enzo Fernandez,1.90531513,Center Defensive Midfield,Midfield,1.220016847
Pedro González López,1.642801012,Left Center Midfield,Midfield,1.124692393
Ángel Fabián Di María Hernández,1.635754114,Right Midfield,Midfield,0.301950974
Rodrigo Javier De Paul,1.548227026,Right Center Midfield,Midfield,0.744364085
Neymar da Silva Santos Junior,1.500643778,Center Attacking Midfield,Midfield,0.697367816
Piotr Zieliński,1.313964731,Right Center Midfield,Midfield,1.068296747
Azzedine Ounahi,1.265141278,Right Center Midfield,Midfield,0.465121974
Weston McKennie,1.196068719,Right Center Midfield,Midfield,0.857289257
Luis Gerardo Chávez Magallón,1.179425025,Left Center Midfield,Midfield,0.964496846
Dušan Tadić,1.169007614,Right Attacking Midfield,Midfield,0.719999248
Federico Santiago Valverde Dipetta,1.140377328,Right Defensive Midfield,Midfield,0.830565756
Sofyan Amrabat,1.09219476,Center Defensive Midfield,Midfield,0.700627677
In-Beom Hwang,1.08200972,Left Defensive Midfield,Midfield,0.929086456
Yunus Dimoara Musah,1.062255772,Left Center Midfield,Midfield,0.218802418
Leandro Daniel Paredes,1.012358858,Left Defensive Midfield,Midfield,0.868358535
Marcelo Brozović,0.999426415,Center Defensive Midfield,Midfield,0.591630746
Christian Dannemann Eriksen,0.977132739,Left Center Midfield,Midfield,0.859999064
Granit Xhaka,0.976703355,Left Defensive Midfield,Midfield,0.650163136
David Junior Hoilett,0.957397166,Center Attacking Midfield,Midfield,0.578582379
Pierre-Emile Højbjerg,0.932161454,Right Defensive Midfield,Midfield,0.801617738
Woo-Young Jung,0.927804857,Right Defensive Midfield,Midfield,0.849425585
Frenkie de Jong,0.9198191,Left Defensive Midfield,Midfield,0.371174993
Wataru Endo,0.911535832,Right Defensive Midfield,Midfield,0.662918371
Steven Berghuis,0.900632156,Center Attacking Midfield,Midfield,0.627146612
Bernardo Mota Veiga de Carvalho e Silva,0.886090676,Right Center Midfield,Midfield,0.212523039
Mohammed Kanoo,0.880907827,Right Defensive Midfield,Midfield,0.602555543
Hassan Khalid Al Heidos,0.853782502,Left Center Midfield,Midfield,0.678873555
Jude Bellingham,0.847727682,Left Center Midfield,Midfield,0.346755661
İlkay Gündoğan,0.839236227,Left Defensive Midfield,Midfield,0.663692857
Aaron Mooy,0.808030486,Left Defensive Midfield,Midfield,0.70660948
Thomas Teye Partey,0.782510183,Right Defensive Midfield,Midfield,0.554119387
Otávio Edmilson da Silva Monteiro,0.776349271,Left Center Midfield,Midfield,0.524468237
Rúben Diogo Da Silva Neves,0.77477834,Center Defensive Midfield,Midfield,0.595664402
Rodrigo Bentancur Colmán,0.773920556,Center Defensive Midfield,Midfield,0.437299048
Carlos Henrique Casimiro,0.770584409,Left Defensive Midfield,Midfield,0.580015901
Tyler Adams,0.748683051,Center Defensive Midfield,Midfield,0.658612199
Saeid Ezatolahi Afagh,0.728115774,Left Defensive Midfield,Midfield,0.633558222
Stephen Antunes Eustáquio,0.7180526,Left Defensive Midfield,Midfield,0.650758286
Kang-In Lee,0.70705439,Left Center Midfield,Midfield,0.560697856
Sergio Busquets i Burgos,0.680032566,Center Defensive Midfield,Midfield,0.522608896
Gonzalo Jordy Plata Jiménez,0.677488539,Right Midfield,Midfield,0.319976791
Adrien Rabiot,0.664261201,Left Defensive Midfield,Midfield,0.327565695
Jordan Brian Henderson,0.650281732,Right Center Midfield,Midfield,0.535386124
Jakub Kamiński,0.644399202,Right Midfield,Midfield,0.495880992
Declan Rice,0.612792036,Center Defensive Midfield,Midfield,0.415406403
Saša Lukić,0.603757305,Right Defensive Midfield,Midfield,0.301519942
Mehdi Taremi,0.602984833,Center Attacking Midfield,Midfield,-0.023990786
Giorgian Daniel De Arrascaeta Benedetti,0.5786586,Left Midfield,Midfield,0.522515006
Harry Wilson,0.571539573,Left Center Midfield,Midfield,0.574148567
Vitor Machado Ferreira,0.55816774,Left Center Midfield,Midfield,0.38905325
Aïssa Bilal Laïdouni,0.542798153,Left Defensive Midfield,Midfield,0.323929834
Sergej Milinković-Savić,0.542316345,Left Attacking Midfield,Midfield,0.363815618
Mason Mount,0.528996475,Center Attacking Midfield,Midfield,0.286937684
Ellyes Joris Skhiri,0.525763181,Right Defensive Midfield,Midfield,0.433121423
Ethan Ampadu,0.522287563,Center Defensive Midfield,Midfield,0.396436013
Antony Matheus dos Santos,0.520903339,Right Midfield,Midfield,-0.063907009
Mathias Jensen,0.515123418,Right Center Midfield,Midfield,0.483117005
Hidemasa Morita,0.503691647,Left Defensive Midfield,Midfield,0.279288635
Jackson Irvine,0.492003215,Right Defensive Midfield,Midfield,0.278975216
Teun Koopmeiners,0.475479438,Right Defensive Midfield,Midfield,0.292541347
Pape Matar Sarr,0.473876824,Center Attacking Midfield,Midfield,0.491558767
Rodrygo Silva de Goes,0.472588691,Center Attacking Midfield,Midfield,-0.276755155
Grzegorz Krychowiak,0.466537663,Center Defensive Midfield,Midfield,0.360030038
Mathew Leckie,0.450483122,Right Midfield,Midfield,0.062594602
Ehsan Hajsafi,0.450395503,Left Midfield,Midfield,0.278476149
Pierre Kunde Malong,0.44988654,Right Defensive Midfield,Midfield,0.3791186
Enner Remberto Valencia Lastra,0.442738221,Left Attacking Midfield,Midfield,0.061346543
André-Frank Zambo Anguissa,0.437714576,Right Center Midfield,Midfield,0.296606583
Mario Götze,0.42726087,Right Center Midfield,Midfield,0.258701981
Lucas Tolentino Coelho de Lima,0.410008976,Right Defensive Midfield,Midfield,0.360497074
Youssouf Fofana,0.399594312,Right Center Midfield,Midfield,0.185353327
Atiba Hutchinson,0.396481846,Right Defensive Midfield,Midfield,0.306129168
Krystian Bielik,0.395792636,Right Defensive Midfield,Midfield,0.319325533
Bruno Guimarães Rodriguez Moura,0.391726126,Right Defensive Midfield,Midfield,0.199110255
Jeremy Leonel Sarmiento Morante,0.380916228,Left Midfield,Midfield,0.074233976
Nampalys Mendy,0.379009915,Left Defensive Midfield,Midfield,0.191186009
Mohammed Kudus,0.363967818,Left Center Midfield,Midfield,-0.004612177
Celso Borges Mora,0.359097247,Right Defensive Midfield,Midfield,0.307001023
Ali Gholizadeh,0.358355596,Right Midfield,Midfield,0.247375522
Craig Goodwin,0.356238912,Left Midfield,Midfield,0.228217675
Edson Omar Álvarez Velázquez,0.35512067,Center Defensive Midfield,Midfield,0.186399666
Facundo Pellistri Rebollo,0.338585464,Right Midfield,Midfield,0.023685028
Axel Witsel,0.335668689,Left Defensive Midfield,Midfield,0.183257424
Éverton Augusto de Barros Ribeiro,0.334647813,Center Attacking Midfield,Midfield,0.0531758
Jun-Ho Son,0.325417429,Center Defensive Midfield,Midfield,0.321037177
Frederico Rodrigues Santos,0.324701477,Right Defensive Midfield,Midfield,0.258083366
Ahmad Nourollahi,0.318282812,Right Defensive Midfield,Midfield,0.104077849
Brenden Aaronson,0.291705284,Right Center Midfield,Midfield,0.003193006
Alexis Mac Allister,0.290403696,Left Center Midfield,Midfield,0.006079877
Nicolas Moumi Ngamaleu,0.288320662,Left Midfield,Midfield,0.192819869
Selim Amallah,0.28136786,Left Center Midfield,Midfield,0.134472703
Riley McGree,0.280437763,Left Center Midfield,Midfield,0.19389689
Remo Freuler,0.279423844,Right Defensive Midfield,Midfield,0.110428424
Sami Khalil Al Naji,0.276967893,Center Attacking Midfield,Midfield,0.197350175
Nemanja Maksimović,0.273707803,Right Defensive Midfield,Midfield,0.169644987
Hee-Chan Hwang,0.268248933,Right Midfield,Midfield,-0.183182369
Djibril Sow,0.265193135,Center Attacking Midfield,Midfield,0.044887401
Karim Boudiaf,0.261632087,Center Defensive Midfield,Midfield,0.187519552
Matías Vecino Falero,0.245834083,Left Defensive Midfield,Midfield,0.225217725
Mehdi Torabi,0.24140203,Right Midfield,Midfield,0.203036652
Carlos Soler Barragán,0.238981808,Left Center Midfield,Midfield,0.109019316
Salis Abdul Samed,0.236393999,Left Defensive Midfield,Midfield,0.119446281
Nawaf Shaker Al Abid,0.232997146,Center Attacking Midfield,Midfield,0.112738557
Pathé Ismaël Ciss,0.230633197,Right Defensive Midfield,Midfield,0.10583588
William Silva de Carvalho,0.228271861,Left Center Midfield,Midfield,0.228048309
Martin Hongla Yma II,0.225479065,Left Center Midfield,Midfield,0.167217193
Héctor Miguel Herrera López,0.224652114,Right Center Midfield,Midfield,0.160164419
Brennan Johnson,0.221939971,Right Midfield,Midfield,0.073277573
Eden Hazard,0.219452531,Center Attacking Midfield,Midfield,-0.059417962
Assim Omer Al Haj Madibo,0.218146687,Center Defensive Midfield,Midfield,0.172054961
Idrissa Gana Gueye,0.209914915,Center Attacking Midfield,Midfield,0.107185683
Diego Nicolás De La Cruz Arcosa,0.206732085,Left Midfield,Midfield,0.12919819
Guido Rodríguez,0.204973825,Left Defensive Midfield,Midfield,0.16588931
Anis Ben Slimane,0.204225836,Right Attacking Midfield,Midfield,0.157593933
Marko Grujić,0.202784302,Right Center Midfield,Midfield,0.116512409
Fábio Henrique Tavares,0.201049934,Left Defensive Midfield,Midfield,0.13881804
Leon Goretzka,0.195012908,Left Defensive Midfield,Midfield,0.141109651
Jhegson Sebastián Méndez Carabalí,0.191038891,Right Defensive Midfield,Midfield,0.152808174
Samuel Yves Oum Gwet,0.18983008,Center Defensive Midfield,Midfield,0.183161529
Youri Tielemans,0.188136996,Right Defensive Midfield,Midfield,0.138405636
Moisés Isaac Caicedo Corozo,0.186007612,Left Defensive Midfield,Midfield,0.042860313
Liam Millar,0.181352564,Left Midfield,Midfield,0.040245038
Lovro Majer,0.180145326,Right Defensive Midfield,Midfield,0.104014755
Dries Mertens,0.177543487,Center Attacking Midfield,Midfield,0.070037385
Ali Karimi,0.173200847,Right Defensive Midfield,Midfield,0.107381629
Jules Olivier Ntcham,0.168354889,Right Defensive Midfield,Midfield,0.087234298
Davy Klaassen,0.165751585,Center Attacking Midfield,Midfield,0.079057285
Abdulelah Saad Hameed Al-Malki,0.165695959,Left Defensive Midfield,Midfield,0.162704188
Jerome Ngom Mbekeli,0.162304232,Right Midfield,Midfield,0.110002876
Carlos Alberto Rodríguez Gómez,0.158513949,Right Center Midfield,Midfield,0.080554908
Exequiel Alejandro Palacios,0.152421968,Right Center Midfield,Midfield,0.095831895
Daniel-Kofi Kyereh,0.150331555,Left Defensive Midfield,Midfield,0.078753852
Abdelhamid Sabiri,0.147144902,Left Center Midfield,Midfield,0.102221648
Keanu Baccus,0.14456424,Right Defensive Midfield,Midfield,0.045499486
Vincent Paté Aboubakar,0.142630486,Center Attacking Midfield,Midfield,-0.02056446
Nemanja Gudelj,0.142594898,Left Defensive Midfield,Midfield,0.110601874
Yuki Soma,0.14008063,Left Midfield,Midfield,-0.01851531
Pape Gueye,0.137581826,Left Defensive Midfield,Midfield,0.080624747
Alireza Jahanbakhsh,0.136534324,Right Midfield,Midfield,0.032322982
Yeltsin Ignacio Tejeda Valverde,0.132530197,Left Defensive Midfield,Midfield,0.118655822
Ao Tanaka,0.127907005,Left Defensive Midfield,Midfield,0.083793842
Ferjani Sassi,0.121398888,Right Defensive Midfield,Midfield,0.109152093
Romario Andrés Ibarra Mina,0.121191553,Left Midfield,Midfield,-0.040050886
Mohamed Ali Ben Romdhane,0.120768462,Left Attacking Midfield,Midfield,-0.005424408
Sebastian Szymański,0.113894237,Left Center Midfield,Midfield,0.08801698
Sorba Thomas,0.101373815,Left Midfield,Midfield,0.075944071
Alejandro Darío Gómez,0.1005265,Left Midfield,Midfield,-0.07507556
Denis Lemi Zakaria Lako Lado,0.099782622,Right Defensive Midfield,Midfield,0.045551127
Thomas Müller,0.096991051,Center Attacking Midfield,Midfield,0.008508841
Ismael Koné,0.090054995,Right Defensive Midfield,Midfield,0.138047913
Ali Assadalla Thaimn Qambar,0.086612709,Left Center Midfield,Midfield,-0.065593733
Seung-Ho Paik,0.086124228,Right Center Midfield,Midfield,0.049413646
Kellyn Kai Perry-Acosta,0.081557724,Left Center Midfield,Midfield,0.010314459
Carlos Armando Gruezo Arboleda,0.075126148,Center Defensive Midfield,Midfield,0.05344736
Jonathan Osorio,0.070991684,Right Defensive Midfield,Midfield,-0.044253056
Thomas Delaney,0.067131595,Center Defensive Midfield,Midfield,0.050137362
Kalvin Phillips,0.066305805,Center Defensive Midfield,Midfield,0.060462214
Abdulaziz Hatem Mohammed Abdullah,0.060926021,Right Center Midfield,Midfield,0.018226986
Ilias Chair,0.059684678,Right Center Midfield,Midfield,0.024013359
Orbelín Pineda Alvarado,0.055050151,Center Attacking Midfield,Midfield,0.029597989
Awer Mabil,0.053476048,Left Midfield,Midfield,-0.036606215
Ivan Ilić,0.048935029,Right Defensive Midfield,Midfield,0.034659394
João Maria Lobo Alves Palhinha Gonçalves,0.042889631,Center Defensive Midfield,Midfield,0.037899301
Pablo Martín Páez Gavira,0.040524317,Right Center Midfield,Midfield,-0.197319389
Gaël Ondoua,0.039490721,Right Defensive Midfield,Midfield,0.045689198
Bilal El Khannous,0.037017239,Right Center Midfield,Midfield,0.047275754
Nicola Zalewski,0.036736381,Left Midfield,Midfield,-0.018118928
Érick Gabriel Gutiérrez Galaviz,0.036260945,Left Defensive Midfield,Midfield,-0.007037417
Ali Al Hassan,0.028775619,Right Defensive Midfield,Midfield,-0.003315332
Jorge Resurrección Merodio,0.023843189,Center Defensive Midfield,Midfield,-0.000231126
Nasser Al Dawsari,0.023500279,Left Defensive Midfield,Midfield,8.35E-05
Cheikhou Kouyaté,0.021526414,Right Defensive Midfield,Midfield,-0.013798445
Aaron Ramsey,0.021002386,Right Center Midfield,Midfield,-0.017387762
Damian Szymański,0.015999257,Right Defensive Midfield,Midfield,0.01351059
Noa Lang,0.015929984,Left Midfield,Midfield,
Rubin Colwill,0.014667674,Right Defensive Midfield,Midfield,0.014667674
Matheus Luiz Nunes,0.013756985,Right Center Midfield,Midfield,-0.101080929
Kenneth Taylor,0.013213159,Left Defensive Midfield,Midfield,0.024423079
Woo-Yeong Jeong,0.013068802,Center Attacking Midfield,Midfield,-0.022839871
Agustín Canobbio Graviz,0.01104084,Right Midfield,Midfield,0.01613332
Ghilane Chalali,0.010819252,Right Attacking Midfield,Midfield,0.008585034
Alan Steven Franco Palma,0.007348914,Left Defensive Midfield,Midfield,0.012760676
Marten de Roon,0.006627218,Right Defensive Midfield,Midfield,0.011067509
Amadou Onana,0.004562941,Right Defensive Midfield,Midfield,-0.049988422
Ángel Martín Correa,0.002793528,Left Center Midfield,Midfield,-0.017398545
José Andrés Guardado Hernández,0.002352706,Left Center Midfield,Midfield,-0.002982446
Yahya Jabrane,0.000261994,Left Defensive Midfield,Midfield,0.000977283
Daniel Alonso Chacón Salas,0,Left Defensive Midfield,Midfield,0
Roan Roberto Wilson Gordon,-0.002113173,Left Defensive Midfield,Midfield,-0.008383462
José Adoni Cifuentes Charcopa,-0.006462463,Right Defensive Midfield,Midfield,-0.079828772
David Wotherspoon,-0.006491903,Left Midfield,Midfield,0.001892442
Michel Aebischer,-0.008431439,Center Attacking Midfield,Midfield,-0.008431439
Przemysław Frankowski,-0.008528138,Left Midfield,Midfield,0.007009187
Jae-Sung Lee,-0.008533603,Center Attacking Midfield,Midfield,-0.213053043
Jordan Veretout,-0.010619327,Left Center Midfield,Midfield,-0.013647095
Joseff Morrell,-0.016718563,Left Defensive Midfield,Midfield,-0.008699172
Fabian Frei,-0.017193372,Center Attacking Midfield,Midfield,-0.01709523
Riyadh Sharahili,-0.023434272,Right Defensive Midfield,Midfield,-0.028953344
Garang Kuol,-0.02784604,Right Midfield,Midfield,-0.003105967
Christian Nørgaard,-0.044264524,Center Defensive Midfield,Midfield,-0.029584554
Michał Skóraś,-0.064925195,Right Midfield,Midfield,-0.063081409
Salman Mohammed Al Faraj,-0.065166957,Right Center Midfield,Midfield,-0.064729759
Mark Anthony Kaye,-0.073124166,Left Defensive Midfield,Midfield,-0.101107954
Joe Allen,-0.096674319,Right Defensive Midfield,Midfield,-0.091139271
André Ayew Pelé,-0.101566249,Center Attacking Midfield,Midfield,-0.11383552
Kylian Mbappé Lottin,3.648945187,Left Wing,Wing,0.747701863
Raphael Dias Belloli,2.430282056,Right Wing,Wing,1.303859893
Kevin De Bruyne,2.18573762,Right Wing,Wing,1.578781225
Bruno Miguel Borges Fernandes,2.101741961,Right Wing,Wing,1.517645394
Ousmane Dembélé,1.942605775,Right Wing,Wing,0.895424135
Sofiane Boufal,1.91681858,Left Wing,Wing,0.834295667
Jamal Musiala,1.874133711,Left Wing,Wing,0.07908945
Christian Pulisic,1.814361817,Left Wing,Wing,0.814873305
Hakim Ziyech,1.746245073,Right Wing,Wing,1.068774847
Hirving Rodrigo Lozano Bahena,1.642070086,Right Wing,Wing,0.665725569
Vinícius José Paixão de Oliveira Júnior,1.534540184,Left Wing,Wing,0.246070783
Ivan Perišić,1.375607875,Left Wing,Wing,-0.063195793
Leroy Sané,1.269182026,Right Wing,Wing,0.997227066
Ismaïla Sarr,1.114425022,Left Wing,Wing,0.289449791
Xherdan Shaqiri,1.024847775,Right Wing,Wing,0.857976171
Ruben Vargas,0.981534726,Left Wing,Wing,0.255438648
Gabriel Teodoro Martinelli Silva,0.952197093,Left Wing,Wing,0.214530604
Serge Gnabry,0.906025752,Right Wing,Wing,0.429268233
Salem Mohammed Al Dawsari,0.881828973,Left Wing,Wing,0.318760575
Mislav Oršić,0.862664321,Left Wing,Wing,0.315704471
Heung-Min Son,0.774658192,Left Wing,Wing,-0.043307945
Thorgan Hazard,0.754362099,Left Wing,Wing,0.667417422
Mikkel Damsgaard,0.646607344,Left Wing,Wing,0.503848746
Rafael Alexandre Conceição Leão,0.579944905,Left Wing,Wing,0.123660836
Marcus Thuram,0.573950342,Left Wing,Wing,0.047026215
Jordan Ayew,0.551782424,Left Wing,Wing,0.372405737
Krépin Diatta,0.499985745,Right Wing,Wing,0.046101625
João Félix Sequeira,0.49864475,Left Wing,Wing,0.00482238
Yannick Ferreira Carrasco,0.476388455,Left Wing,Wing,-0.079151907
Bukayo Saka,0.46188109,Right Wing,Wing,-0.088666381
Naïm Sliti,0.455445869,Right Wing,Wing,0.173748464
Nikola Vlašić,0.451397702,Right Wing,Wing,0.146286624
Karl Brillant Toko Ekambi,0.426326859,Left Wing,Wing,0.189785393
Youssef Msakni,0.395728131,Left Wing,Wing,0.147965716
Philip Foden,0.392503088,Left Wing,Wing,0.207953013
Daniel Olmo Carvajal,0.359775732,Left Wing,Wing,-0.518641119
Ritsu Doan,0.354686263,Right Wing,Wing,0.221602163
Andreas Skov Olsen,0.349109831,Right Wing,Wing,-0.059199978
Jack Grealish,0.345082849,Left Wing,Wing,0.008108497
Abdessamad Ezzalzouli,0.336259379,Left Wing,Wing,0.019497395
Daichi Kamada,0.289769713,Left Wing,Wing,0.084907128
Jeremy Doku,0.278215209,Left Wing,Wing,-0.016119995
Ferrán Torres García,0.275120206,Right Wing,Wing,-0.219479789
Mario Pašalić,0.268512072,Right Wing,Wing,0.095485822
Marcus Rashford,0.250761218,Right Wing,Wing,-0.177091496
Ernesto Alexis Vega Rojas,0.243869416,Left Wing,Wing,0.235192769
Giovanni Reyna,0.238726151,Right Wing,Wing,0.003020813
Jesper Lindstrøm,0.230021163,Right Wing,Wing,-0.158263144
Kamil Grosicki,0.226170175,Left Wing,Wing,0.160896607
Jewison Bennette,0.19637155,Right Wing,Wing,-0.000902316
Timothy Weah,0.194112642,Right Wing,Wing,-0.072738558
Kamaldeen Sulemana,0.185511082,Left Wing,Wing,-0.001658154
Sang-Ho Na,0.183832898,Right Wing,Wing,0.072568586
Carlos Uriel Antuna Romero,0.181659217,Right Wing,Wing,0.014486227
Nicholas Williams Arthuer,0.178650089,Right Wing,Wing,-0.112665965
Zakaria Aboukhlal,0.152089686,Left Wing,Wing,0.044654202
Anass Zaroury,0.138376097,Left Wing,Wing,0.056097596
Christian Fassnacht,0.120172768,Left Wing,Wing,-0.041035953
Christian Mougang Bassogog,0.105967045,Right Wing,Wing,-0.082019861
Takefusa Kubo,0.105772546,Right Wing,Wing,-0.000703024
Bryan Mbeumo,0.101784741,Right Wing,Wing,-0.070899598
Iliman Ndiaye,0.100794883,Right Wing,Wing,-0.123981038
Kingsley Coman,0.087168912,Right Wing,Wing,-0.220438912
Takumi Minamino,0.084653514,Left Wing,Wing,0.054498018
Brandon Aguilera Zamora,0.048211622,Left Wing,Wing,-0.004051669
Roberto Carlos Alvarado Hernández,0.044887843,Left Wing,Wing,-0.006414459
Georges-Kévin Nkoudou Mbida,0.041659756,Left Wing,Wing,-0.116374724
Daniel James,0.037856989,Left Wing,Wing,-0.026313462
Osman Bukari,0.036386171,Right Wing,Wing,-0.02744542
Raheem Sterling,0.033001054,Left Wing,Wing,-0.07203175
Hattan Babhir,0.032257801,Right Wing,Wing,0.032759478
Firas Tariq Nasser Al Albirakan,0.0318575,Right Wing,Wing,-0.225919424
Chang-Hoon Kwon,0.026188616,Right Wing,Wing,0.013069257
Renato Steffen,0.019780865,Right Wing,Wing,-1.43E-06
Abdulrahman Al-Obood,0.017653985,Right Wing,Wing,-0.000454656
Pablo Sarabia García,0.017525411,Right Wing,Wing,0.013562941
Charles De Ketelaere,0.01599362,Right Wing,Wing,-0.001737354
Thiago Ezequiel Almada,0.005272028,Left Wing,Wing,-0.013502832
Saman Ghoddos,0.003437153,Left Wing,Wing,0.002210463
Nicolas Jackson,0.000784169,Right Wing,Wing,-0.009766186
Alvaro José Zamora Mata,-0.003741818,Right Wing,Wing,-0.018985613
Abdul Fatawu Issahaku,-0.004158572,Right Wing,Wing,
Jonas Hofmann,-0.005889638,Right Wing,Wing,0.03731792
Bryan Ruiz González,-0.008906354,Left Wing,Wing,-0.018079681
Noah Okafor,-0.018191616,Right Wing,Wing,-0.139556983
Mattéo Guendouzi Olié,-0.024165484,Left Wing,Wing,-0.032966034
Hannibal Mejbri,-0.029173885,Right Wing,Wing,-0.029173885
Fabian Rieder,-0.032663696,Right Wing,Wing,-0.093400956
Jordan Morris,-0.052245044,Right Wing,Wing,-0.028705639
João Mário Naval da Costa Eduardo,-0.064488879,Left Wing,Wing,-0.140760395
Gerson Torres Barrantes,-0.064629018,Right Wing,Wing,-0.078000418
Andrej Kramarić,-0.083507329,Right Wing,Wing,-0.430284165
Ricardo Jorge Luz Horta,-0.122489388,Right Wing,Wing,-0.206475049
Anssumane Fati,-0.244203933,Left Wing,Wing,-0.261319854
,,,,